,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,FIPStxt,State,County,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,RuralUrbanContinuumCode2003,UrbanInfluenceCode2003,Metro2013,Nonmetro2013,Micropolitan2013,Type_2015_Update,Type_2015_Farming_NO,Type_2015_Manufacturing_NO,Type_2015_Mining_NO,Type_2015_Government_NO,Type_2015_Recreation_NO,Low_Education_2015_update,Low_Employment_2015_update,Population_loss_2015_update,Retirement_Destination_2015_Update,Perpov_1980_0711,PersistentChildPoverty_1980_2011,Hipov,HiAmenity,HiCreativeClass2000,Gas_Change,Oil_Change,Oil_Gas_Change,Metro2003,NonmetroNotAdj2003,NonmetroAdj2003,Noncore2003,EconomicDependence2000,Nonmetro2003,Micropolitan2003,FarmDependent2003,ManufacturingDependent2000,LowEducation2000,RetirementDestination2000,PersistentPoverty2000,Noncore2013,Type_2015_Nonspecialized_NO,Metro_Adjacent2013,PersistentChildPoverty2004,RecreationDependent2000
0,12,123,00295728,0500000US12123,12123,Taylor,06,2702180641,489194665,"POLYGON ((-88506.74704393634 641541.6822231873, -80657.73801488918 658666.6618253904, -74941.67367193394 661621.6572126551, -71320.14159632835 664885.3570896916, -37494.59283952264 664171.5487468601, -37648.38605646227 659308.336673686, -27827.94335261607 659109.1983542987, -29034.43133905719 617807.4885146897, -27441.2079416959 610484.7998358884, -24152.65240525696 610462.5730374114, -29106.06003973581 593155.0139713918, -33727.51825479482 593290.8955041589, -33772.80789277965 593787.8244564076, -40375.30897791428 597034.719465699, -45551.3486745721 599867.4277136796, -49786.42168185549 607089.8288629461, -53671.58994542717 614898.7376484062, -58751.15957359233 621853.6812081352, -69173.79506645817 628590.5847810404, -82784.87449717184 635821.2901357057, -88506.74704393634 641541.6822231873))",12123,FL,Taylor,6.0,6.0,6.0,6.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1,12,061,00307624,0500000US12061,12061,Indian River,06,1302203812,295578903,"POLYGON ((211708.4167777625 385068.3159987319, 212917.8545097436 386549.0867721486, 248365.296656096 386587.5061586999, 254395.0162275161 390874.6070453975, 260763.283697903 377555.1233462451, 266048.7087094255 361791.1188257841, 267482.0244545352 357344.1199568437, 231619.5101403088 357324.0148902127, 222006.1766950923 357332.0890402665, 221902.3775609854 366690.905386542, 212517.8684057929 366577.1473267004, 211708.4167777625 385068.3159987319))",12061,FL,Indian River,3.0,2.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,073,00306916,0500000US12073,12073,Leon,06,1727086019,90548394,"POLYGON ((-157359.6931292447 670644.9275937476, -150546.2241992657 676555.5577925564, -138148.2872193992 683184.140489625, -127076.6236419416 685344.6841686036, -124149.3771071691 696301.1279163772, -114872.6908065669 708390.0578160962, -99502.22854710853 707198.9013456955, -95554.28627306648 706857.2277604289, -88249.83355303673 706228.9568137547, -85810.3289549849 689530.9080612008, -92089.69057887956 684292.9823363279, -95417.27124399442 680027.172718411, -95982.74138321797 662204.4997708182, -111933.894117281 662717.8369728627, -116146.7047638213 666065.2417550156, -157306.7273474179 666987.6917822519, -157359.6931292447 670644.9275937476))",12073,FL,Leon,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12,103,00295745,0500000US12103,12103,Pinellas,06,709006650,866038559,"POLYGON ((17392.05973720655 426687.4672153926, 37846.10306675191 426512.5270150623, 37858.69510961164 423370.752105817, 37785.33569232491 404996.6688247829, 45104.15595739277 397120.5743632267, 45694.21501182605 389058.2722341991, 43681.92978345513 386907.5126289132, 40060.31400264596 382871.5393248647, 39764.82627723378 377647.3637846347, 37004.47904126332 374092.5395607039, 31710.82327965458 365850.7686774763, 28921.66557012292 364521.8250199093, 28491.69489068582 371792.6156174768, 27809.34236919598 377655.8573792527, 23567.00041304051 384401.491163325, 18121.7115323919 391433.2415278018, 18815.83902699867 400609.482523787, 20187.22082811742 409665.719844536, 20205.61070298936 409787.2311563172, 18109.62092878568 418945.9441484212, 17392.05973720655 426687.4672153926))",12103,FL,Pinellas,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,12,049,00295746,0500000US12049,12049,Hardee,06,1651329788,1439673,"POLYGON ((95958.95682947717 367468.6817224192, 144393.3497821867 367180.433495237, 144186.9545199414 333273.0984073255, 95529.76274010818 333325.6404009887, 95958.95682947717 367468.6817224192))",12049,FL,Hardee,6.0,3.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
5,12,043,00295743,0500000US12043,12043,Glades,06,2089129695,466706483,"POLYGON ((144185.841610921 299260.9793283185, 173486.9983377213 299030.1248045425, 173462.1488913291 308849.5578425328, 183316.6421837734 308903.0286696666, 183244.8090402201 318637.0236793821, 205877.4331886365 318223.0778994178, 212024.2388409897 314159.1445706644, 211354.6170848264 290857.4527835205, 205434.8311602655 269816.9112227538, 143717.6824958835 269996.712598495, 144185.841610921 299260.9793283185))",12043,FL,Glades,6.0,4.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
6,12,029,00295725,0500000US12029,12029,Dixie,06,1826212953,410630401,"POLYGON ((-33727.51825479482 593290.8955041589, -29106.06003973581 593155.0139713918, -24152.65240525696 610462.5730374114, 14355.1884216007 609922.2777162344, 11411.20091757827 602237.8163439455, 10594.66720619079 583530.4691005342, 12305.74772792912 584121.8162631867, 7519.707383485162 570872.960437179, -107.0617627731117 557525.0074189092, -10468.75682052164 551017.09542631, -10821.33850938446 551163.7246784146, -11286.8313536231 557198.8970641632, -13798.76041650318 562762.070458674, -17412.07640240065 567129.6926273442, -22666.26055087053 567758.2624610319, -23867.93358854629 571213.8447880455, -32837.61866825714 577433.4265509528, -33012.55284731466 585455.4174076188, -33727.51825479482 593290.8955041589))",12029,FL,Dixie,6.0,7.0,6.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
7,12,093,00295760,0500000US12093,12093,Okeechobee,06,1991328272,318722514,"POLYGON ((186133.6368719769 362037.1740235872, 185971.9601306542 366684.1377374339, 212517.8684057929 366577.1473267004, 221902.3775609854 366690.905386542, 222006.1766950923 357332.0890402665, 231619.5101403088 357324.0148902127, 231913.8493214314 318268.1194328196, 231980.9362321458 308920.0986294185, 211354.6170848264 290857.4527835205, 212024.2388409897 314159.1445706644, 205877.4331886365 318223.0778994178, 202858.7459148756 319534.780419697, 196594.2736103253 335199.2793821599, 190262.3108560444 337412.9982272448, 178833.2796681534 354003.9892772116, 186133.6368719769 362037.1740235872))",12093,FL,Okeechobee,4.0,3.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8,12,035,00308547,0500000US12035,12035,Flagler,06,1256519758,221918898,"POLYGON ((149286.7121350224 586131.2394155442, 168618.1032619857 586412.8326107198, 179633.1273602361 591378.7068493937, 184147.9993016998 578585.929854588, 190009.3679095096 564359.4707132614, 184872.771204904 562587.054483788, 185415.0098181132 546515.5571943716, 159444.7895255126 546046.2409994781, 157878.0612747734 561280.6293864332, 153713.2330043212 561075.1928968576, 149522.7373663275 572587.0123103422, 149286.7121350224 586131.2394155442))",12035,FL,Flagler,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9,12,053,00295751,0500000US12053,12053,Hernando,06,1224485109,301068594,"POLYGON ((36957.53399687499 461022.3752231968, 37868.7751643197 467703.9719877787, 36867.40601200299 476320.9878593735, 36923.73341753584 484290.9473281681, 61393.88687350339 484036.0349402737, 61421.14324941233 480825.0424699727, 76539.82032738699 480847.9969126913, 75375.60753228744 479592.6660706835, 81796.44556820212 470198.7251031642, 96786.88729192296 464438.8263133821, 96723.0628510926 459676.5902436575, 77274.44107826584 459873.9467242296, 77209.69834881622 455034.2601105396, 34357.00750583073 455394.1883119298, 36957.53399687499 461022.3752231968))",12053,FL,Hernando,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,12,091,00306915,0500000US12091,12091,Okaloosa,06,2409293012,393276379,"POLYGON ((-352987.0965610865 752796.4666160338, -343662.776635321 752227.0070964212, -331727.5531332952 751510.1647582364, -314996.4207065557 750609.1002136568, -319137.6642386566 682100.3614882138, -320538.1085349867 682484.7901233233, -341726.8203314909 685297.8054149859, -357919.65547338 684804.2725406003, -352987.0965610865 752796.4666160338))",12091,FL,Okaloosa,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
