ObjectId,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
1,1,36,-87.83645153,-87.9609632492:-87.7119398117,31.25481917,31.1310029078:31.378635439,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,397,Baldwin,Alabama,01,003,01003,209227,127.60000000,182265,111.10000000,156153,17105,1216,1348,89,7992,3631,2723,89196,93069,11158,11599,11926,11600,9449,20956,23553,26921,24535,17803,9532,3233,41.20000000,40.10000000,42.30000000,73180,2.46000000,8096,10276,15778,24135,1848,5272,51151,2.93000000,104061,30881,53071,20109,989.00000000,194.00000000,100901.00000000,137069.00000000,1640.33000000,6.67563575,5769279686.52148438,796142.47475694,-87.8364515308295,31.2548191735581
2,1,37,-87.83645153,-87.9609632492:-87.7119398117,31.50245170,31.378635439:31.6262679702,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1164,Clarke,Alabama,01,025,01025,25085,20.00000000,25833,20.60000000,14070,11336,103,77,4,271,67,176,12214,13619,1468,1701,1945,1997,1264,2874,3300,3874,3236,2358,1340,476,40.20000000,39.20000000,41.00000000,10337,2.47000000,1304,1601,2079,2910,220,1243,7204,3.02000000,12638,2301,7996,2341,263.00000000,181.00000000,7738.00000000,9862.00000000,1252.37000000,3.78649797,4492332146.12109375,455401.92914331,-87.8364515308295,31.502451704519
3,1,38,-87.83645153,-87.9609632492:-87.7119398117,31.75008424,31.6262679702:31.8739005014,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1164,Clarke,Alabama,01,025,01025,25085,20.00000000,25833,20.60000000,14070,11336,103,77,4,271,67,176,12214,13619,1468,1701,1945,1997,1264,2874,3300,3874,3236,2358,1340,476,40.20000000,39.20000000,41.00000000,10337,2.47000000,1304,1601,2079,2910,220,1243,7204,3.02000000,12638,2301,7996,2341,263.00000000,181.00000000,7738.00000000,9862.00000000,1252.37000000,3.78649797,4492332146.12109375,455401.92914331,-87.8364515308295,31.7500842356894
4,1,39,-87.83645153,-87.9609632492:-87.7119398117,31.99771677,31.8739005014:32.1215330325,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1165,Marengo,Alabama,01,091,01091,20210,20.60000000,21027,21.40000000,9751,10872,34,53,13,352,140,164,9913,11114,1307,1369,1484,1644,1161,2171,2621,3052,2794,1822,1136,466,40.40000000,39.20000000,41.30000000,8535,2.43000000,1127,1398,1502,2229,198,1117,5787,3.01000000,10237,1702,6402,2133,499.00000000,332.00000000,32830.00000000,38963.00000000,982.82000000,2.64363237,3569100478.37109375,317429.70024343,-87.8364515308295,31.997716767269
5,1,40,-87.83645153,-87.9609632492:-87.7119398117,32.24534930,32.1215330325:32.3691655637,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1165,Marengo,Alabama,01,091,01091,20210,20.60000000,21027,21.40000000,9751,10872,34,53,13,352,140,164,9913,11114,1307,1369,1484,1644,1161,2171,2621,3052,2794,1822,1136,466,40.40000000,39.20000000,41.30000000,8535,2.43000000,1127,1398,1502,2229,198,1117,5787,3.01000000,10237,1702,6402,2133,499.00000000,332.00000000,32830.00000000,38963.00000000,982.82000000,2.64363237,3569100478.37109375,317429.70024343,-87.8364515308295,32.2453492977851
6,1,41,-87.83645153,-87.9609632492:-87.7119398117,32.49298183,32.3691655637:32.6167980949,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1165,Marengo,Alabama,01,091,01091,20210,20.60000000,21027,21.40000000,9751,10872,34,53,13,352,140,164,9913,11114,1307,1369,1484,1644,1161,2171,2621,3052,2794,1822,1136,466,40.40000000,39.20000000,41.30000000,8535,2.43000000,1127,1398,1502,2229,198,1117,5787,3.01000000,10237,1702,6402,2133,499.00000000,332.00000000,32830.00000000,38963.00000000,982.82000000,2.64363237,3569100478.37109375,317429.70024343,-87.8364515308295,32.4929818292688
7,1,42,-87.83645153,-87.9609632492:-87.7119398117,32.74061436,32.6167980949:32.8644306261,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1180,Greene,Alabama,01,063,01063,8631,13.10000000,9045,13.70000000,1575,7370,17,15,0,69,25,43,4271,4774,555,584,632,738,506,903,926,1387,1360,759,498,197,41.60000000,38.40000000,44.10000000,3764,2.39000000,652,642,465,785,90,606,2372,3.10000000,5007,1243,2742,1022,304.00000000,396.00000000,21842.00000000,73659.00000000,660.01000000,3.57721010,2429052146.83203125,432576.33209482,-87.8364515308295,32.7406143602211
8,1,43,-87.83645153,-87.9609632492:-87.7119398117,32.98824689,32.8644306261:33.1120631573,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,1180,Greene,Alabama,01,063,01063,8631,13.10000000,9045,13.70000000,1575,7370,17,15,0,69,25,43,4271,4774,555,584,632,738,506,903,926,1387,1360,759,498,197,41.60000000,38.40000000,44.10000000,3764,2.39000000,652,642,465,785,90,606,2372,3.10000000,5007,1243,2742,1022,304.00000000,396.00000000,21842.00000000,73659.00000000,660.01000000,3.57721010,2429052146.83203125,432576.33209482,-87.8364515308295,32.9882468914694
9,1,78,-87.58742809,-87.7119398117:-87.4629163742,30.51192158,30.3881053143:30.6357378455,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,397,Baldwin,Alabama,01,003,01003,209227,127.60000000,182265,111.10000000,156153,17105,1216,1348,89,7992,3631,2723,89196,93069,11158,11599,11926,11600,9449,20956,23553,26921,24535,17803,9532,3233,41.20000000,40.10000000,42.30000000,73180,2.46000000,8096,10276,15778,24135,1848,5272,51151,2.93000000,104061,30881,53071,20109,989.00000000,194.00000000,100901.00000000,137069.00000000,1640.33000000,6.67563575,5769279686.52148438,796142.47475694,-87.5874280929531,30.5119215798839
10,1,79,-87.58742809,-87.7119398117:-87.4629163742,30.75955411,30.6357378455:30.8833703766,20140702120000.00000000,20140101000000:20150101000000,181.51799011,0.0:363.035980225,-999999.00000000,397,Baldwin,Alabama,01,003,01003,209227,127.60000000,182265,111.10000000,156153,17105,1216,1348,89,7992,3631,2723,89196,93069,11158,11599,11926,11600,9449,20956,23553,26921,24535,17803,9532,3233,41.20000000,40.10000000,42.30000000,73180,2.46000000,8096,10276,15778,24135,1848,5272,51151,2.93000000,104061,30881,53071,20109,989.00000000,194.00000000,100901.00000000,137069.00000000,1640.33000000,6.67563575,5769279686.52148438,796142.47475694,-87.5874280929531,30.7595541113741
