OBJECTID,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
1,1,685,-82.60695934,-82.7314710617:-82.4824476242,29.27375892,29.1499426584:29.3975751896,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00038873,2316,Levy,Florida,12,075,12075,41097,36.20000000,40801,36.00000000,34876,3832,170,229,24,3047,879,791,20078,20723,2299,2300,2426,2591,2086,4097,4594,6190,6304,4810,2431,673,45.00000000,44.30000000,45.50000000,16404,2.45000000,2023,2234,2759,5311,478,1349,11067,2.91000000,20123,3719,13155,3249,1053.00000000,159.00000000,59835.00000000,76335.00000000,1134.28000000,8.80001867,3878245959.93164063,1042816.23450187,-82.60695934261,29.2737589242642
2,1,687,-82.60695934,-82.7314710617:-82.4824476242,29.76902399,29.6452077207:29.8928402519,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039074,2330,Alachua,Florida,12,001,12001,262216,270.60000000,247336,255.30000000,172156,50282,772,13235,134,20752,4211,6546,119786,127550,13068,11739,11669,23589,41515,36980,25508,29470,27171,14580,8375,3672,30.10000000,29.60000000,30.90000000,100516,2.32000000,13651,16705,14656,21921,1917,7983,53500,2.91000000,112766,12250,54768,45748,1662.00000000,113.00000000,58746.00000000,60865.00000000,968.91000000,2.63841660,3335777347.57617188,315203.53159364,-82.60695934261,29.7690239862139
3,1,686,-82.60695934,-82.7314710617:-82.4824476242,29.52139146,29.3975751896:29.6452077207,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039089,2316,Levy,Florida,12,075,12075,41097,36.20000000,40801,36.00000000,34876,3832,170,229,24,3047,879,791,20078,20723,2299,2300,2426,2591,2086,4097,4594,6190,6304,4810,2431,673,45.00000000,44.30000000,45.50000000,16404,2.45000000,2023,2234,2759,5311,478,1349,11067,2.91000000,20123,3719,13155,3249,1053.00000000,159.00000000,59835.00000000,76335.00000000,1134.28000000,8.80001867,3878245959.93164063,1042816.23450187,-82.60695934261,29.5213914549563
4,1,688,-82.60695934,-82.7314710617:-82.4824476242,30.01665652,29.8928402519:30.1404727831,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039126,2336,Columbia,Florida,12,023,12023,69419,86.70000000,67531,84.30000000,52611,11818,346,622,42,3276,787,1305,34951,32580,4232,4156,4205,4514,4725,8200,8075,10210,8824,6043,3253,1094,39.90000000,38.00000000,41.90000000,24941,2.52000000,2979,3423,4635,7394,849,2428,17122,3.00000000,28636,3695,18213,6728,945.00000000,107.00000000,33356.00000000,114893.00000000,801.02000000,2.63125100,2788109867.94726563,319747.10459492,-82.60695934261,30.0166565178778
5,1,1558,-81.61086559,-81.7353773117:-81.4863538742,26.05453602,25.930719753:26.1783522842,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039275,2300,Collier,Florida,12,021,12021,368652,180.90000000,321520,157.70000000,269596,21087,1123,3507,125,83177,19920,6162,158494,163026,16836,17277,17451,17613,15516,32550,35557,40829,42940,46154,29290,9507,46.90000000,45.30000000,48.50000000,133179,2.38000000,14244,21364,21524,50628,3301,7504,89276,2.84000000,197298,64119,96159,37020,319.00000000,387.00000000,66948.00000000,635582.00000000,2038.27000000,13.57125310,6575313648.75781250,1594232.20616388,-81.6108655929007,26.0545360183292
6,1,641,-82.85598278,-82.9804944992:-82.7314710617,30.01665652,29.8928402519:30.1404727831,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039280,2338,Suwannee,Florida,12,121,12121,44733,64.60000000,41551,60.00000000,34299,4754,211,228,15,3596,1271,773,20945,20606,2574,2595,2612,2654,2267,4680,4830,5875,5614,4448,2472,930,42.10000000,39.90000000,44.30000000,15953,2.52000000,1775,2305,2935,5095,560,1336,11035,2.97000000,19164,3211,12003,3950,1266.00000000,153.00000000,84084.00000000,234060.00000000,692.10000000,2.16552694,2407584535.05273438,261893.22155468,-82.8559827804865,30.0166565178778
7,1,689,-82.60695934,-82.7314710617:-82.4824476242,30.26428905,30.1404727831:30.3881053143,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039385,2336,Columbia,Florida,12,023,12023,69419,86.70000000,67531,84.30000000,52611,11818,346,622,42,3276,787,1305,34951,32580,4232,4156,4205,4514,4725,8200,8075,10210,8824,6043,3253,1094,39.90000000,38.00000000,41.90000000,24941,2.52000000,2979,3423,4635,7394,849,2428,17122,3.00000000,28636,3695,18213,6728,945.00000000,107.00000000,33356.00000000,114893.00000000,801.02000000,2.63125100,2788109867.94726563,319747.10459492,-82.60695934261,30.2642890489216
8,1,642,-82.85598278,-82.9804944992:-82.7314710617,30.26428905,30.1404727831:30.3881053143,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039388,2338,Suwannee,Florida,12,121,12121,44733,64.60000000,41551,60.00000000,34299,4754,211,228,15,3596,1271,773,20945,20606,2574,2595,2612,2654,2267,4680,4830,5875,5614,4448,2472,930,42.10000000,39.90000000,44.30000000,15953,2.52000000,1775,2305,2935,5095,560,1336,11035,2.97000000,19164,3211,12003,3950,1266.00000000,153.00000000,84084.00000000,234060.00000000,692.10000000,2.16552694,2407584535.05273438,261893.22155468,-82.8559827804865,30.2642890489216
9,1,643,-82.85598278,-82.9804944992:-82.7314710617,30.51192158,30.3881053143:30.6357378455,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039388,2337,Hamilton,Florida,12,047,12047,14344,27.60000000,14799,28.50000000,8851,5102,93,76,0,1306,420,257,8721,6078,776,781,822,971,1519,1962,1914,2178,1930,1181,579,186,38.00000000,35.20000000,42.50000000,4617,2.54000000,598,626,811,1343,142,499,3186,3.05000000,5778,1161,3434,1183,292.00000000,246.00000000,28351.00000000,155770.00000000,519.31000000,2.28967636,1817521910.00976563,268694.49476281,-82.8559827804865,30.5119215798839
10,1,959,-86.59133434,-86.7158460617:-86.4668226242,30.75955411,30.6357378455:30.8833703766,20150702120000.00000000,20150101000000:20160101000000,116.31416364,0.436676889658:232.191650391,0.00039600,400,Okaloosa,Florida,12,091,12091,198210,211.30000000,180822,192.70000000,146582,16797,1068,5328,354,12296,3592,7101,90843,89979,11608,10881,10674,11942,13678,24995,21675,28748,21403,14094,8577,2547,38.20000000,36.30000000,40.10000000,72379,2.43000000,8943,9958,14435,22189,1959,5812,48457,2.92000000,92407,20028,47095,25284,477.00000000,129.00000000,18649.00000000,21562.00000000,938.20000000,4.08953654,3297740747.54687500,489355.93334704,-86.5913343432438,30.7595541113741
