ObjectId,Join_Count,TARGET_FID,longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),xco2 (Moles Mole^{-1}),OBJECTID,County Name,State Name,STATE_FIPS,CNTY_FIPS,FIPS,Population (2017),Pop. per Sq. Mi.,POP2010,Population per Sq. Mi.,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape__Area,Shape__Length,x,y
1,1,13,-86.84035778,-86.9648694992:-86.7158460617,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,399,Santa Rosa,Florida,12,113,12113,171747,167.60000000,151372,147.70000000,132920,8205,1306,2759,217,6507,1463,4502,76422,74950,9197,9770,10620,10550,8875,18591,20893,24835,18581,12043,5801,1616,39.10000000,37.90000000,40.30000000,56910,2.59000000,5819,6329,13849,18614,1648,4294,41553,2.99000000,64760,7850,43453,13457,666.00000000,147.00000000,69610.00000000,94250.00000000,1024.96000000,4.76320605,3604571196.75781250,566897.17005105,-86.8403577802219,30.5119215798839
2,1,14,-86.84035778,-86.9648694992:-86.7158460617,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,399,Santa Rosa,Florida,12,113,12113,171747,167.60000000,151372,147.70000000,132920,8205,1306,2759,217,6507,1463,4502,76422,74950,9197,9770,10620,10550,8875,18591,20893,24835,18581,12043,5801,1616,39.10000000,37.90000000,40.30000000,56910,2.59000000,5819,6329,13849,18614,1648,4294,41553,2.99000000,64760,7850,43453,13457,666.00000000,147.00000000,69610.00000000,94250.00000000,1024.96000000,4.76320605,3604571196.75781250,566897.17005105,-86.8403577802219,30.7595541113741
3,1,58,-86.59133434,-86.7158460617:-86.4668226242,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,400,Okaloosa,Florida,12,091,12091,198210,211.30000000,180822,192.70000000,146582,16797,1068,5328,354,12296,3592,7101,90843,89979,11608,10881,10674,11942,13678,24995,21675,28748,21403,14094,8577,2547,38.20000000,36.30000000,40.10000000,72379,2.43000000,8943,9958,14435,22189,1959,5812,48457,2.92000000,92407,20028,47095,25284,477.00000000,129.00000000,18649.00000000,21562.00000000,938.20000000,4.08953654,3297740747.54687500,489355.93334704,-86.5913343432438,30.5119215798839
4,1,59,-86.59133434,-86.7158460617:-86.4668226242,30.75955411,30.6357378455:30.8833703766,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,400,Okaloosa,Florida,12,091,12091,198210,211.30000000,180822,192.70000000,146582,16797,1068,5328,354,12296,3592,7101,90843,89979,11608,10881,10674,11942,13678,24995,21675,28748,21403,14094,8577,2547,38.20000000,36.30000000,40.10000000,72379,2.43000000,8943,9958,14435,22189,1959,5812,48457,2.92000000,92407,20028,47095,25284,477.00000000,129.00000000,18649.00000000,21562.00000000,938.20000000,4.08953654,3297740747.54687500,489355.93334704,-86.5913343432438,30.7595541113741
5,1,116,-84.59914684,-84.7236585617:-84.4746351242,30.01665652,29.8928402519:30.1404727831,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,410,Liberty,Florida,12,077,12077,8737,10.40000000,8365,9.90000000,6462,1497,89,17,0,518,158,142,5092,3273,462,493,517,493,548,1387,1311,1368,898,539,284,65,37.10000000,36.50000000,38.40000000,2525,2.57000000,305,328,548,713,100,260,1775,3.05000000,3357,832,1909,616,80.00000000,177.00000000,1169.00000000,18750.00000000,843.54000000,3.02967553,2937093874.89453125,359114.30243059,-84.5991468429269,30.0166565178778
6,1,117,-84.59914684,-84.7236585617:-84.4746351242,30.26428905,30.1404727831:30.3881053143,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,413,Wakulla,Florida,12,129,12129,32143,52.20000000,30776,49.90000000,25224,4464,191,172,18,1016,148,559,16992,13784,1740,2000,1951,1905,1770,4276,4778,5167,3850,2123,958,258,38.70000000,38.20000000,39.30000000,10490,2.61000000,1153,1186,2439,3180,381,912,7591,3.03000000,12804,2314,8469,2021,171.00000000,181.00000000,1998.00000000,13322.00000000,616.28000000,5.31295513,2142714267.09179688,630290.72924329,-84.5991468429269,30.2642890489216
7,1,118,-84.59914684,-84.7236585617:-84.4746351242,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,409,Gadsden,Florida,12,039,12039,47015,89.00000000,46389,87.80000000,16646,25996,137,227,19,4419,2757,607,22647,23742,3213,3109,2969,3168,2691,5800,5856,6966,6294,3702,1948,673,38.90000000,37.70000000,40.00000000,16952,2.61000000,1871,2454,2767,4360,503,2474,11895,3.12000000,19506,2554,12437,4515,402.00000000,126.00000000,13068.00000000,135388.00000000,528.50000000,2.09497739,1852815644.31250000,245772.04161331,-84.5991468429269,30.5119215798839
8,1,161,-84.35012341,-84.4746351242:-84.2256116867,30.01665652,29.8928402519:30.1404727831,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,413,Wakulla,Florida,12,129,12129,32143,52.20000000,30776,49.90000000,25224,4464,191,172,18,1016,148,559,16992,13784,1740,2000,1951,1905,1770,4276,4778,5167,3850,2123,958,258,38.70000000,38.20000000,39.30000000,10490,2.61000000,1153,1186,2439,3180,381,912,7591,3.03000000,12804,2314,8469,2021,171.00000000,181.00000000,1998.00000000,13322.00000000,616.28000000,5.31295513,2142714267.09179688,630290.72924329,-84.3501234050504,30.0166565178778
9,1,162,-84.35012341,-84.4746351242:-84.2256116867,30.26428905,30.1404727831:30.3881053143,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,-999999.00000000,413,Wakulla,Florida,12,129,12129,32143,52.20000000,30776,49.90000000,25224,4464,191,172,18,1016,148,559,16992,13784,1740,2000,1951,1905,1770,4276,4778,5167,3850,2123,958,258,38.70000000,38.20000000,39.30000000,10490,2.61000000,1153,1186,2439,3180,381,912,7591,3.03000000,12804,2314,8469,2021,171.00000000,181.00000000,1998.00000000,13322.00000000,616.28000000,5.31295513,2142714267.09179688,630290.72924329,-84.3501234050504,30.2642890489216
10,1,163,-84.35012341,-84.4746351242:-84.2256116867,30.51192158,30.3881053143:30.6357378455,20160702000000.00000000,20160101000000:20170101000000,182.59992981,0.0:365.199859619,0.00039962,414,Leon,Florida,12,073,12073,288630,411.10000000,275487,392.40000000,173480,83520,775,8053,140,15361,3397,6122,131134,144353,15350,14877,14690,27231,43722,39954,30360,33593,29730,14633,7930,3417,29.70000000,28.90000000,30.60000000,110945,2.35000000,14548,18818,17190,23484,2366,10094,60908,2.94000000,124136,13191,60393,50552,284.00000000,286.00000000,6563.00000000,13492.00000000,702.05000000,2.51606039,2455146338.78320313,296161.60295800,-84.3501234050504,30.5119215798839
